state,date,icubeds,totalicubeds
KS,10/1/20,570,718
LA,10/1/20,1222,1724
MI,10/1/20,1968,2567
GA,10/2/20,2067,2543
IN,10/2/20,1464,2243
KS,10/2/20,561,718
LA,10/2/20,1209,1681
MI,10/2/20,1967,2562
GA,10/3/20,2070,2531
IN,10/3/20,1426,2238
KS,10/3/20,552,720
LA,10/3/20,1216,1716
MI,10/3/20,1935,2556
GA,10/4/20,1970,2480
IN,10/4/20,1414,2244
KS,10/4/20,532,720
LA,10/4/20,1166,1718
MI,10/4/20,1877,2546
GA,10/5/20,1933,2390
IN,10/5/20,1428,2249
KS,10/5/20,540,721
LA,10/5/20,1161,1708
MI,10/5/20,1888,2573
GA,10/6/20,1955,2357
IN,10/6/20,1488,2247
KS,10/6/20,576,718
LA,10/6/20,1198,1711
MI,10/6/20,1951,2567
GA,10/7/20,1966,2368
IN,10/7/20,1499,2245
KS,10/7/20,578,722
LA,10/7/20,1219,1715
MI,10/7/20,1969,2573
GA,10/8/20,1955,2351
IN,10/8/20,1535,2224
KS,10/8/20,580,719
LA,10/8/20,1232,1683
MI,10/8/20,1992,2582
GA,10/9/20,1984,2349
IN,10/9/20,1505,2237
KS,10/9/20,570,718
LA,10/9/20,1163,1654
MI,10/9/20,1965,2553
GA,10/10/20,1977,2360
IN,10/10/20,1465,2248
KS,10/10/20,557,718
LA,10/10/20,1147,1636
MI,10/10/20,1955,2550
FL,9/10/20,4893,6258
FL,9/11/20,4880,6248
FL,9/12/20,4760,6210
FL,9/13/20,4662,6230
FL,9/14/20,4658,6257
FL,9/15/20,4796,6295
FL,9/16/20,4722,6212
FL,9/17/20,4734,6210
FL,9/18/20,4759,6234
FL,9/19/20,4707,6257
FL,9/20/20,4527,6205
FL,9/21/20,4511,6181
FL,9/22/20,4723,6269
FL,9/23/20,4784,6212
FL,9/24/20,4734,6201
FL,9/25/20,4822,6264
FL,9/26/20,4680,6198
FL,9/27/20,4538,6246
FL,9/28/20,4537,6238
FL,9/29/20,4784,6238
FL,9/30/20,4804,6248
FL,10/1/20,4766,6238
FL,10/2/20,4748,6237
FL,10/3/20,4635,6219
FL,10/4/20,4562,6220
FL,10/5/20,4530,6288
FL,10/6/20,4756,6271
FL,10/7/20,4878,6300
FL,10/8/20,4870,6306
FL,10/9/20,4838,6259
FL,10/10/20,4739,6211
AK,9/10/20,62,46
IA,9/10/20,466,713
AK,9/11/20,55,46
IA,9/11/20,459,707
AK,9/12/20,63,46
IA,9/12/20,452,706
AK,9/13/20,59,46
IA,9/13/20,446,707
AK,9/14/20,71,86
IA,9/14/20,463,710
AK,9/15/20,72,100
IA,9/15/20,480,717
AK,9/16/20,75,100
IA,9/16/20,487,721
AK,9/17/20,70,100
IA,9/17/20,489,709
AK,9/18/20,71,100
IA,9/18/20,494,713
AK,9/19/20,69,100
IA,9/19/20,470,710
AK,9/20/20,73,101
IA,9/20/20,475,714
AK,9/21/20,72,101
IA,9/21/20,448,698
AK,9/22/20,82,103
IA,9/22/20,460,690
AK,9/23/20,85,102
IA,9/23/20,488,695
AK,9/24/20,84,105
IA,9/24/20,508,699
AK,9/25/20,87,105
IA,9/25/20,488,696
AK,9/26/20,78,105
IA,9/26/20,468,700
AK,9/27/20,82,105
IA,9/27/20,467,699
AK,9/28/20,85,105
IA,9/28/20,456,709
AK,9/29/20,101,127
